Depth,Length,Breadth,num,F3_P_MCP_90,F3_P_PIP_100,F3_P_PIP_90,F3_P_DIP_80,F3_A_MCP_90,F3_A_PIP_100,F3_A_DIP_80,F2_A_DIP_80,F2_P_DIP_80,F2_A_MCP_90,F2_P_MCP_90,F2_A_PIP_100,F2_P_PIP_90,F2_P_PIP_100,F4_A_DIP_80,F4_P_DIP_80,F4_A_MCP_90,F4_P_MCP_90,F4_A_PIP_100,F4_P_PIP_90,F4_P_PIP_100,F5_A_DIP_80,F5_P_DIP_80,F5_A_MCP_90,F5_P_MCP_90,F5_A_PIP_100,F5_P_PIP_90,F5_P_PIP_100
0.7071,0.7071,-0.7071,1,0.05795311,0.02846901,0.0189,0.00324033,5.43746584,4.10948573,1.14669031,1.13115316,0.01349362,4.76679876,0.055063932,2.56924026,0.02436558,0.02817326,0.89516617,0.00934001,2.38339938,0.05455169,1.78548532,0.010962,0.007888513,1.20950286,0.01559888,3.02991246,0.03724019,0.28451686,0.01323,0.014234505
0.7071,0.7071,0.7071,2,0.05797672,0.0285089,0.0186,0.00364249,5.4331231,4.11319426,1.32996399,1.14092077,0.01325921,4.53687948,0.058581126,2.46139169,0.02318246,0.02732316,0.89077458,0.00880272,2.26843974,0.0670711,1.72007135,0.010788,0.00771047,1.20646699,0.01534197,2.86636533,0.037105101,0.62216207,0.012834,0.01425445
-0.7071,0.7071,-0.7071,3,0.08693308,0.03176786,0.0136,0.00329464,2.52756918,3.44488534,1.31958921,1.11243121,0.01361744,4.63483059,0.08738362,2.62537086,0.02511896,0.02843214,0.88568696,0.00962473,1.2559425,0.03474872,1.7877037,0.00853921,0.007960999,1.18776265,0.01532871,1.314335974,0.055376372,1.47116365,0.009656,0.01646247
0,-1,0,4,0.03721384,0.01932187,0.0163,0.00222784,5.33491734,3.99355789,1.1356848,0.99938633,0.01211338,4.05889007,0.0389925,2.1455933,0.02038746,0.0242024,0.76393692,0.00776537,2.53839778,0.06713621,1.48272816,0.009454,0.006776672,0.98166787,0.01316649,2.74056429,0.023854071,0.03756402,0.011247,0.009660935
0.7071,-0.7071,0.7071,5,0.03905693,0.0209613,0.019,0.00270067,5.58029239,4.14869508,1.17157334,1.04066447,0.01221998,4.19438961,0.03983177,2.15603773,0.02035268,0.02446229,0.78147429,0.00748027,2.38215417,0.08082149,1.46298855,0.01102,0.006889441,1.02693564,0.01356764,2.7735216,0.025113606,0.11925014,0.01349,0.01048065
0.7071,-0.7071,-0.7071,6,0.0390561,0.02093608,0.0185,0.00265995,5.58196319,4.14739244,1.17610945,1.04223871,0.01239194,4.19431362,0.03983149,2.15599657,0.02035244,0.02446221,0.78147429,0.00748027,2.38215417,0.08082149,1.46298855,0.01073,0.006909419,1.02693564,0.01356764,2.7735216,0.024214782,0.05609047,0.01258,0.01031615
-1,0,0,7,0.06275999,0.02426027,0.0126,0.00263041,3.91028107,3.75133837,1.23815528,1.06308656,0.01301103,4.4237438,0.062888475,2.40839687,0.02300486,0.02642632,0.83415687,0.00882573,1.642318049,0.03102811,1.68693695,0.007308,0.00769937,1.10501747,0.01458791,2.033346156,0.040040874,1.29579076,0.008568,0.012130135
0,0,-1,8,0.04993451,0.02442375,0.0165,0.00295486,5.25795744,3.97778923,1.25057456,1.06814168,0.01306176,4.29472992,0.048286575,2.46788776,0.02357125,0.02699188,0.84333203,0.00903231,2.01336415,0.0444698,1.69441301,0.00957,0.007257726,1.09973212,0.01434366,2.8234112,0.031958086,0.53514975,0.01155,0.012211875
0,0,0,9,0.04995788,0.02429442,0.016,0.00298306,5.25478444,3.99192323,1.24783968,1.07541692,0.01291862,4.30323178,0.04826208,2.36489306,0.0224403,0.02620221,0.84053724,0.00867129,2.15161589,0.04517299,1.66655676,0.00928,0.007436619,1.10897409,0.01447638,2.78118043,0.030973886,0.57565834,0.0112,0.01214721
0,0,1,10,0.04999125,0.02423968,0.016,0.00301513,5.25028082,3.99948382,1.24506256,1.07906344,0.01271883,4.30232992,0.048525945,2.3395891,0.02218601,0.02601426,0.83709358,0.00829331,2.15116496,0.04630142,1.62565307,0.00928,0.007283993,1.11714615,0.0145988,2.72868085,0.032094383,0.60535698,0.01104,0.01351913
-0.7071,0.7071,0.7071,11,0.08686124,0.03032382,0.0137,0.00334487,2.5318896,3.58428556,1.31625139,1.12395983,0.01341993,4.64415622,0.083379657,2.5238107,0.02400719,0.02765819,0.88446343,0.00915867,1.088712528,0.03559387,1.75796941,0.00810765,0.007744293,1.20046169,0.01550851,1.316582592,0.055678055,1.47304641,0.009727,0.01582025
1,0,0,12,0.04637871,0.02466985,0.0197,0.00321101,5.72809859,4.20330993,1.25573612,1.08878132,0.01282638,4.30095983,0.049392128,2.31967251,0.02184351,0.02597765,0.8388826,0.00833932,2.37377264,0.07348184,1.6391639,0.011426,0.007273742,1.11330534,0.01452491,3.12066051,0.029589617,0.05528712,0.013593,0.01294734
-0.7071,-0.7071,0.7071,13,0.04273004,0.02042121,0.0137,0.00217159,5.03583422,3.85800455,1.16156527,1.01486558,0.01227746,4.06880988,0.04353004,2.21418309,0.02110978,0.02480751,0.78624231,0.00817422,2.03440494,0.04568423,1.53213113,0.007810619,0.006946103,1.02287779,0.01384521,2.618633794,0.027389956,0.5678231,0.009727,0.010210605
-0.7071,-0.7071,-0.7071,14,0.04268104,0.02046802,0.0136,0.00212928,5.04216076,3.8499988,1.16544234,1.00943797,0.01253242,4.06755779,0.04358104,2.26759195,0.02166628,0.02512391,0.79070583,0.00867124,2.033778895,0.0491783,1.59007856,0.008016524,0.007034695,0.97524663,0.01273031,2.621923595,0.027230504,0.66408245,0.00952,0.01023401
0,1,0,15,0.07812312,0.03077688,0.0161,0.00372532,3.82025109,3.86308227,1.35762108,1.14924291,0.01367536,4.75518352,0.07712312,2.65041884,0.02528921,0.02881194,0.91728711,0.00924942,1.642707969,0.05962789,1.82909854,0.009357008,0.008067343,1.23527423,0.01593846,1.986530567,0.05007692,1.3729112,0.01127,0.01651584
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
